region,region_code,period,pct_phys_any_ehr,pct_phys_basic_ehr,pct_phys_cert_ehr,pct_primary_care_phys_basic_ehr,pct_primary_care_phys_cert_ehr,pct_surg_med_spec_phys_cert_ehr,pct_rural_phys_basic_ehr,pct_small_practice_phys_basic_ehr,pct_small_practice_phys_cert_ehr,pct_phys_view_labs,pct_phys_send_lab_orders,pct_phys_graph_labs,pct_phys_e_share_provs,pct_phys_e_share_ambu_provs,pct_phys_e_share_hosps,pct_phys_send_receive_any_patient_info,pct_phys_e_share_patients,pct_phys_patient_secure_message,pct_phys_vdt,pct_phys_vd_and_t,pct_phys_patient_clinical_summary,pct_phys_find_clin_info,pct_phys_send_any_clin_info,pct_phys_send_summary_care_record,pct_phys_receive_any_clin_info,pct_phys_receive_summary_care_record,pct_phys_integrate_any_clin_info,pct_phys_integrate_summary_care_record
Utah,UT,2015,0.874,0.691,0.734,,0.761466021,0.70992649,,,0.690887457,,,,,,,0.423446583,0.758205861,0.706443551,0.725833445,0.207619645,,0.342481368,0.335453225,0.168839349,0.29550654,0.173238438,0.285754713,0.140534091
Vermont,VT,2015,0.858,0.523,0.793,,0.893583556,0.641585614,,,0.623440462,,,,,,,0.452522916,0.755551545,0.755551545,0.742266257,0.072843278,,0.3612607,0.37384326,0.136523866,0.388575586,0.154546451,0.282324008,0.08338512
Virginia,VA,2015,0.859,0.554,0.734,,0.699798551,0.747189155,,,0.754193277,,,,,,,0.390336901,0.724689887,0.610043714,0.608127106,0.230345099,,0.476107073,0.32420574,0.270454201,0.310557814,0.307707149,0.308060277,0.234032896
Washington,WA,2015,0.927,0.569,0.857,,0.905878766,0.800609993,,,0.823454874,,,,,,,0.493027062,0.792297524,0.779453826,0.700656098,0.125601026,,0.57624086,0.406267171,0.288539996,0.429243962,0.378800018,0.313019447,0.175033048
West Virginia,WV,2015,0.834,0.568,0.753,,0.715632513,0.792364248,,,0.695797321,,,,,,,0.4614622,0.700222506,0.612575474,0.613481315,0.185498064,,0.331101375,0.364404468,0.197819139,0.372247658,0.279788152,0.290213941,0.11088805
Wisconsin,WI,2015,0.932,0.786,0.832,,0.894095352,0.751630465,,,0.864294932,,,,,,,0.654665255,0.860725377,0.830131598,0.800473475,0.105016041,,0.540590895,0.503603977,0.377147749,0.654665255,0.374071188,0.347159758,0.133373759
Wyoming,WY,2015,0.901,0.588,0.884,,0.869876833,0.90222553,,,0.84967348,,,,,,,0.425696141,0.68296152,0.619658612,0.616639217,0.20644037,,0.333689334,0.373783044,0.249571995,0.39450478,0.325588565,0.286617709,0.142472013
Alabama,AL,2014,0.917,0.49,0.804,,0.85079929,0.761396304,,,0.807284939,,,,0.45262484,,,,,0.495945369,,,,,,,,,,
Alaska,AK,2014,0.736,0.446,0.588,,0.658371276,0.501685213,,,0.523091109,,,,0.35056053,,,,,0.358781466,,,,,,,,,,
Arizona,AZ,2014,0.853,0.55,0.811,,0.750901081,0.853063488,,,0.803581118,,,,0.388005899,,,,,0.413730952,,,,,,,,,,
Arkansas,AR,2014,0.891,0.473,0.789,,0.835817816,0.737200931,,,0.788832487,,,,0.360916025,,,,,0.54815864,,,,,,,,,,
California,CA,2014,0.801,0.585,0.724,,0.866552084,0.582313174,,,0.700987086,,,,0.482374882,,,,,0.525604574,,,,,,,,,,
Colorado,CO,2014,0.825,0.393,0.676,,0.764302981,0.59177338,,,0.642045455,,,,0.393675889,,,,,0.356324111,,,,,,,,,,
